record_id,Unnamed: 0_data1,Main_data1,Sub_data1,Interval,Replication,Unnamed: 5,Unnamed: 6,Main.1,Sub.1,Intervals,Rep,Unnamed: 11,Stage 3,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Stage 4,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 0_data2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Main_data2,Sub_data2,Unnamed: 8,Treat,Rep.1,Unnamed: 12
95,,I2,S1,1.0,3.0,34.7,,I2,S2,3.0,3.0,39.8,I1,S3,1,3,37.0,I1,S4,9,3,40.1,,,,,I3,S3,68.4,T9,3,69.4
96,,I2,S1,1.0,3.0,34.7,,I2,S2,3.0,3.0,39.8,I1,S3,1,3,37.0,I1,S4,9,3,40.1,,,,,I3,S4,67.9,T10,3,70.3
97,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I1,S1,80.3,T12,2,68.2
98,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I1,S2,79.6,T13,2,81.0
99,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I1,S3,80.7,T1,3,80.3
100,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I1,S4,82.5,T2,3,79.6
101,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I2,S1,75.5,T3,3,80.7
102,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I2,S2,75.0,T4,3,82.5
103,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I2,S3,76.5,T5,3,75.5
104,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I2,S4,75.4,T6,3,75.0
105,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I3,S1,69.4,T7,3,76.5
106,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I3,S2,70.3,T8,3,75.4
107,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I3,S3,68.4,T9,3,69.4
108,,I3,S1,1.0,3.0,35.9,,I3,S2,3.0,3.0,43.7,I2,S3,1,3,35.9,I2,S4,9,3,42.8,,,,,I3,S4,67.9,T10,3,70.3
109,,,,,,,,,,,,,I3,S3,1,3,35.3,I3,S4,9,3,45.0,,,,,,,,T11,3,68.4
110,,,,,,,,,,,,,I3,S3,1,3,35.3,I3,S4,9,3,45.0,,,,,,,,T12,3,67.9
111,,,,,,,,,,,,,I3,S3,1,3,35.3,I3,S4,9,3,45.0,,,,,,,,T13,3,80.4
112,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,,R1,R2,R3,I1,S1,80.9,T1,1,80.9
113,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T1,80.9,80.2,80.3,I1,S2,80.4,T2,1,80.4
114,,I1,S1,2.0,1.0,30.4,,I1,S2,4.0,1.0,37.8,,,,,,,,,,,T2,80.4,80,79.6,I1,S3,78.9,T3,1,78.9
